,num_below,peaks_below,file_name
0,0,[],0106301.cas
1,1,[73.53357232],0107316.cas
2,0,[],0110203.cas
3,0,[],0110212.cas
4,2,[ 52.79381822 312.87083536],0116511.cas
5,1,[70.80050073],0116512.cas
6,0,[],0119301.cas
7,5,[17.56204577 17.6028826  14.69105384 17.70824431 19.76422094],0119302.cas
8,2,[76.81582337 64.82486824],0127406.cas
9,16,"[ 27.52219743  42.51055771  29.54922762 116.5026415  117.50431199
 115.52018268  41.5869333   39.60803301  43.61581444  67.59050904
  45.62607448  55.66151507  56.66859098  39.73793499  83.71309013
  85.72416051]",012795~1.cas
10,0,[],0128316.cas
11,0,[],0202311.cas
12,43,"[451.50961388 477.5241041  475.54121049 465.54299336 601.55267216
 579.55834107 489.55928319 479.57726473 491.58120507 517.58359109
 537.5932224  521.59494168 493.60000996 531.60906546 547.61280268
 533.61779155 550.62075885 519.62121744 577.62955781 575.63265852
 505.63275401 507.63288906 578.63442739 562.64125154 561.64320243
 549.64535153 563.65030292 603.65439771 608.66082683 565.66220301
 587.66339253 522.66664088 604.66846872 605.6801187  606.68116853
 611.68167747 589.68347695 607.68501697 590.69646322 609.70243427
 619.70688934 633.71121468 639.76530176]",021395~1.cas
13,13,"[ 55.50540769  59.50593487  58.51459841  57.52038206  83.5562811
  39.62364117  41.62647215  42.67334666  91.70061901  81.72371128
 212.82150205 214.82160089 216.83656777]",021395~2.cas
14,11,"[ 40.53472715  59.55312928  57.5685571   95.55994694  41.6531464
  45.67062465 105.62383186  93.68613515  98.71785602  91.76438057
  81.77480432]",021395~3.cas
15,0,[],021395~4.cas
16,0,[],021395~5.cas
17,0,[],0214405.cas
18,0,[],0214407.cas
19,0,[],0214412.cas
20,6,"[284.74124293 282.76866245 216.86227755 134.77221939 176.81643124
 174.83169181]",0221201.cas
21,54,"[880.72662332 699.79306998 775.79788277 957.80197024 689.81844768
 955.82002148 531.82083962 690.82241781 791.82355553 772.8288844
 727.8317306  792.83212997 948.83322656 700.83593575 632.84392174
 608.84665233 739.84819976 477.85030545 695.85258197 867.85387765
 760.85705312 685.8606113  541.86240206 868.86253892 694.86324437
 679.86697594 794.8671191  551.86981228 759.87097039 852.87107407
 790.87121854 675.87143055 714.87285854 688.87327061 678.87770424
 804.87822132 259.98404385 687.88035144 862.88118281 770.88127641
 757.88349386 686.88503627 691.88515039 532.88668635 666.88720946
 677.88844375 622.8890786  870.88947127 742.89040305 262.00456819
 263.01089229 684.89317366 872.89463571 544.89694353]",0221202.cas
